# temp  energy   qhat_over_T3
  0.310000   5.914220   2.498261
  0.320000   5.914220   2.470128
  0.330000   5.914220   2.442170
  0.340000   5.914220   2.416151
  0.350000   5.914220   2.389773
  0.360000   5.914220   2.365318
  0.370000   5.914220   2.340664
  0.380000   5.914220   2.317479
  0.390000   5.914220   2.294506
  0.400000   5.914220   2.272482
  0.410000   5.914220   2.251012
  0.420000   5.914220   2.230042
  0.430000   5.914220   2.209927
  0.440000   5.914220   2.189929
  0.450000   5.914220   2.171032
  0.460000   5.914220   2.151930
  0.470000   5.914220   2.133995
  0.480000   5.914220   2.115863
  0.490000   5.914220   2.098680
  0.500000   5.914220   2.081571
  0.510000   5.914220   2.065084
  0.520000   5.914220   2.048907
  0.530000   5.914220   2.033072
  0.540000   5.914220   2.017751
  0.550000   5.914220   2.002524
  0.560000   5.914220   1.987982
  0.570000   5.914220   1.973325
  0.580000   5.914220   1.959446
  0.590000   5.914220   1.945389
  0.600000   5.914220   1.931998
  0.610000   5.914220   1.918617
  0.620000   5.914220   1.905688
  0.630000   5.914220   1.892939
  0.640000   5.914220   1.880445
  0.650000   5.914220   1.868278
  0.660000   5.914220   1.856200
  0.670000   5.914220   1.844570
  0.680000   5.914220   1.832880
  0.690000   5.914220   1.821735
  0.700000   5.914220   1.810436
  0.710000   5.914220   1.799639
  0.720000   5.914220   1.788820
  0.730000   5.914220   1.778341
  0.740000   5.914220   1.767974
  0.750000   5.914220   1.757807
  0.150000   7.447960   3.581380
  0.160000   7.447960   3.516284
  0.170000   7.447960   3.453738
  0.180000   7.447960   3.395282
  0.190000   7.447960   3.339818
  0.200000   7.447960   3.286744
  0.210000   7.447960   3.237129
  0.220000   7.447960   3.188539
  0.230000   7.447960   3.143816
  0.240000   7.447960   3.099030
  0.250000   7.447960   3.057857
  0.260000   7.447960   3.016946
  0.270000   7.447960   2.978688
  0.280000   7.447960   2.941247
  0.290000   7.447960   2.905543
  0.300000   7.447960   2.871110
  0.310000   7.447960   2.837654
  0.320000   7.447960   2.805852
  0.330000   7.447960   2.774398
  0.340000   7.447960   2.744910
  0.350000   7.447960   2.715250
  0.360000   7.447960   2.687531
  0.370000   7.447960   2.659765
  0.380000   7.447960   2.633509
  0.390000   7.447960   2.607568
  0.400000   7.447960   2.582638
  0.410000   7.447960   2.558343
  0.420000   7.447960   2.534617
  0.430000   7.447960   2.511803
  0.440000   7.447960   2.489186
  0.450000   7.447960   2.467708
  0.460000   7.447960   2.446111
  0.470000   7.447960   2.425714
  0.480000   7.447960   2.405191
  0.490000   7.447960   2.385655
  0.500000   7.447960   2.366250
  0.510000   7.447960   2.347510
  0.520000   7.447960   2.329132
  0.530000   7.447960   2.311135
  0.540000   7.447960   2.293695
  0.550000   7.447960   2.276391
  0.560000   7.447960   2.259811
  0.570000   7.447960   2.243158
  0.580000   7.447960   2.227310
  0.590000   7.447960   2.211332
  0.600000   7.447960   2.196045
  0.610000   7.447960   2.180811
  0.620000   7.447960   2.166053
  0.630000   7.447960   2.151507
  0.640000   7.447960   2.137248
  0.650000   7.447960   2.123349
  0.660000   7.447960   2.109561
  0.670000   7.447960   2.096259
  0.680000   7.447960   2.082915
  0.690000   7.447960   2.070145
  0.700000   7.447960   2.057242
  0.710000   7.447960   2.044867
  0.720000   7.447960   2.032500
  0.730000   7.447960   2.020499
  0.740000   7.447960   2.008620
  0.750000   7.447960   1.996971
  0.150000   8.981700   3.928835
  0.160000   8.981700   3.857979
  0.170000   8.981700   3.790325
  0.180000   8.981700   3.726958
  0.190000   8.981700   3.666750
  0.200000   8.981700   3.609380
  0.210000   8.981700   3.555374
  0.220000   8.981700   3.502967
  0.230000   8.981700   3.454180
  0.240000   8.981700   3.405928
  0.250000   8.981700   3.361094
  0.260000   8.981700   3.316904
  0.270000   8.981700   3.275335
  0.280000   8.981700   3.234770
  0.290000   8.981700   3.196034
  0.300000   8.981700   3.158635
  0.310000   8.981700   3.122373
  0.320000   8.981700   3.087772
  0.330000   8.981700   3.053696
  0.340000   8.981700   3.021558
  0.350000   8.981700   2.989439
  0.360000   8.981700   2.959235
  0.370000   8.981700   2.929127
  0.380000   8.981700   2.900537
  0.390000   8.981700   2.872356
  0.400000   8.981700   2.845223
  0.410000   8.981700   2.818780
  0.420000   8.981700   2.792970
  0.430000   8.981700   2.768097
  0.440000   8.981700   2.743497
  0.450000   8.981700   2.720056
  0.460000   8.981700   2.696562
  0.470000   8.981700   2.674284
  0.480000   8.981700   2.651946
  0.490000   8.981700   2.630617
  0.500000   8.981700   2.609464
  0.510000   8.981700   2.589008
  0.520000   8.981700   2.568939
  0.530000   8.981700   2.549291
  0.540000   8.981700   2.530226
  0.550000   8.981700   2.511339
  0.560000   8.981700   2.493189
  0.570000   8.981700   2.475010
  0.580000   8.981700   2.457644
  0.590000   8.981700   2.440190
  0.600000   8.981700   2.423452
  0.610000   8.981700   2.406782
  0.620000   8.981700   2.390617
  0.630000   8.981700   2.374689
  0.640000   8.981700   2.359069
  0.650000   8.981700   2.343825
  0.660000   8.981700   2.328720
  0.670000   8.981700   2.314110
  0.680000   8.981700   2.299491
  0.690000   8.981700   2.285457
  0.700000   8.981700   2.271319
  0.710000   8.981700   2.257720
  0.720000   8.981700   2.244141
  0.730000   8.981700   2.230949
  0.740000   8.981700   2.217900
  0.750000   8.981700   2.205095
  0.150000  10.515440   4.223629
  0.160000  10.515440   4.148142
  0.170000  10.515440   4.076460
  0.180000  10.515440   4.009204
  0.190000  10.515440   3.945227
  0.200000  10.515440   3.884506
  0.210000  10.515440   3.827005
  0.220000  10.515440   3.771606
  0.230000  10.515440   3.719572
  0.240000  10.515440   3.668649
  0.250000  10.515440   3.620898
  0.260000  10.515440   3.574159
  0.270000  10.515440   3.529966
  0.280000  10.515440   3.486966
  0.290000  10.515440   3.445832
  0.300000  10.515440   3.406116
  0.310000  10.515440   3.367648
  0.320000  10.515440   3.330833
  0.330000  10.515440   3.294717
  0.340000  10.515440   3.260473
  0.350000  10.515440   3.226448
  0.360000  10.515440   3.194267
  0.370000  10.515440   3.162339
  0.380000  10.515440   3.131898
  0.390000  10.515440   3.101960
  0.400000  10.515440   3.073096
  0.410000  10.515440   3.044953
  0.420000  10.515440   3.017513
  0.430000  10.515440   2.991011
  0.440000  10.515440   2.964859
  0.450000  10.515440   2.939835
  0.460000  10.515440   2.914873
