# temp  energy  qhat_over_T3
  0.410000  12.387480   2.508919
  0.430000  12.387480   2.477010
  0.450000  12.387480   2.446425
  0.470000  12.387480   2.416969
  0.490000  12.387480   2.388546
  0.510000  12.387480   2.361211
  0.530000  12.387480   2.334880
  0.550000  12.387480   2.309500
  0.570000  12.387480   2.285018
  0.590000  12.387480   2.261365
  0.610000  12.387480   2.238502
  0.630000  12.387480   2.216380
  0.650000  12.387480   2.194963
  0.670000  12.387480   2.174205
  0.690000  12.387480   2.154054
  0.710000  12.387480   2.134416
  0.730000  12.387480   2.115352
  0.750000  12.387480   2.096834
  0.150000  13.745060   3.363591
  0.170000  13.745060   3.287976
  0.190000  13.745060   3.219289
  0.210000  13.745060   3.156120
  0.230000  13.745060   3.097525
  0.250000  13.745060   3.042366
  0.270000  13.745060   2.990578
  0.290000  13.745060   2.941801
  0.310000  13.745060   2.895729
  0.330000  13.745060   2.852057
  0.350000  13.745060   2.810587
  0.370000  13.745060   2.771088
  0.390000  13.745060   2.733395
  0.410000  13.745060   2.697372
  0.430000  13.745060   2.662897
  0.450000  13.745060   2.629826
  0.470000  13.745060   2.597956
  0.490000  13.745060   2.567231
  0.510000  13.745060   2.537674
  0.530000  13.745060   2.509210
  0.550000  13.745060   2.481760
  0.570000  13.745060   2.455264
  0.590000  13.745060   2.429673
  0.610000  13.745060   2.404923
  0.630000  13.745060   2.380969
  0.650000  13.745060   2.357774
  0.670000  13.745060   2.335293
  0.690000  13.745060   2.313469
  0.710000  13.745060   2.292196
  0.730000  13.745060   2.271545
  0.750000  13.745060   2.251481
  0.150000  15.102640   3.580882
  0.170000  15.102640   3.500530
  0.190000  15.102640   3.427375
  0.210000  15.102640   3.360017
  0.230000  15.102640   3.297481
  0.250000  15.102640   3.238699
  0.270000  15.102640   3.183465
  0.290000  15.102640   3.131427
  0.310000  15.102640   3.082253
  0.330000  15.102640   3.035676
  0.350000  15.102640   2.991392
  0.370000  15.102640   2.949228
  0.390000  15.102640   2.909016
  0.410000  15.102640   2.870560
  0.430000  15.102640   2.833735
  0.450000  15.102640   2.798430
  0.470000  15.102640   2.764424
  0.490000  15.102640   2.731646
  0.510000  15.102640   2.700105
  0.530000  15.102640   2.669716
  0.550000  15.102640   2.640413
  0.570000  15.102640   2.612121
  0.590000  15.102640   2.584789
  0.610000  15.102640   2.558356
  0.630000  15.102640   2.532776
  0.650000  15.102640   2.507989
  0.670000  15.102640   2.483969
  0.690000  15.102640   2.460648
  0.710000  15.102640   2.437919
  0.730000  15.102640   2.415856
  0.750000  15.102640   2.394405
  0.150000  16.460220   3.781360
  0.170000  16.460220   3.696563
  0.190000  16.460220   3.619248
  0.210000  16.460220   3.548012
  0.230000  16.460220   3.481866
  0.250000  16.460220   3.419758
  0.270000  16.460220   3.361373
  0.290000  16.460220   3.306383
  0.310000  16.460220   3.254416
