   6    -2  0.301321E-02  0.154133E-02  0.147187E-02  0.166539E+00
   6    -1  0.386183E-02  0.196252E-02  0.189931E-02  0.226053E+00
   6     0  0.905896E-02  0.449996E-02  0.455899E-02  0.620750E+00
   6     1  0.242178E-01  0.112649E-01  0.129529E-01  0.211032E+01
   6     2  0.382337E-01  0.166977E-01  0.215361E-01  0.439986E+01
   6     3  0.444874E-01  0.188221E-01  0.256653E-01  0.667009E+01
   6     4  0.467507E-01  0.195379E-01  0.272128E-01  0.879270E+01
   6     5  0.475778E-01  0.198291E-01  0.277486E-01  0.108117E+02
   6     6  0.478754E-01  0.199400E-01  0.279354E-01  0.127846E+02
   6     7  0.479781E-01  0.199843E-01  0.279938E-01  0.147309E+02
   7    -2  0.446171E-02  0.227950E-02  0.218221E-02  0.211801E+00
   7    -1  0.551410E-02  0.280038E-02  0.271372E-02  0.274708E+00
   7     0  0.116674E-01  0.577367E-02  0.589374E-02  0.672851E+00
   7     1  0.285682E-01  0.132098E-01  0.153584E-01  0.209509E+01
   7     2  0.437213E-01  0.190501E-01  0.246712E-01  0.426694E+01
   7     3  0.506970E-01  0.214332E-01  0.292637E-01  0.646615E+01
   7     4  0.533096E-01  0.222900E-01  0.310196E-01  0.855681E+01
   7     5  0.543309E-01  0.226322E-01  0.316988E-01  0.105640E+02
   7     6  0.546893E-01  0.227710E-01  0.319183E-01  0.125285E+02
   7     7  0.548279E-01  0.227922E-01  0.320357E-01  0.144757E+02
   8    -2  0.595290E-02  0.303686E-02  0.291605E-02  0.248027E+00
   8    -1  0.718835E-02  0.364326E-02  0.354509E-02  0.311660E+00
   8     0  0.141910E-01  0.698101E-02  0.720995E-02  0.702738E+00
   8     1  0.327097E-01  0.150368E-01  0.176729E-01  0.205969E+01
   8     2  0.491359E-01  0.213579E-01  0.277780E-01  0.413604E+01
   8     3  0.568842E-01  0.240583E-01  0.328259E-01  0.628514E+01
   8     4  0.598582E-01  0.250283E-01  0.348299E-01  0.835022E+01
   8     5  0.610354E-01  0.254286E-01  0.356068E-01  0.103449E+02
   8     6  0.615174E-01  0.255992E-01  0.359182E-01  0.123086E+02
   8     7  0.616521E-01  0.256374E-01  0.360147E-01  0.142490E+02
   9    -2  0.742225E-02  0.377337E-02  0.364888E-02  0.276083E+00
   9    -1  0.879418E-02  0.444519E-02  0.434900E-02  0.338192E+00
   9     0  0.165536E-01  0.810046E-02  0.845310E-02  0.719897E+00
   9     1  0.366313E-01  0.167688E-01  0.198625E-01  0.201617E+01
   9     2  0.544296E-01  0.236060E-01  0.308237E-01  0.401460E+01
   9     3  0.629819E-01  0.265994E-01  0.363825E-01  0.611762E+01
   9     4  0.663373E-01  0.277239E-01  0.386134E-01  0.816091E+01
   9     5  0.677596E-01  0.282197E-01  0.395399E-01  0.101482E+02
   9     6  0.683120E-01  0.284336E-01  0.398784E-01  0.121048E+02
   9     7  0.685160E-01  0.284939E-01  0.400221E-01  0.140468E+02
  10    -2  0.880116E-02  0.446375E-02  0.433740E-02  0.296384E+00
  10    -1  0.103079E-01  0.518612E-02  0.512178E-02  0.356945E+00
  10     0  0.187649E-01  0.913097E-02  0.963396E-02  0.725443E+00
  10     1  0.403402E-01  0.183872E-01  0.219530E-01  0.196636E+01
  10     2  0.596298E-01  0.258368E-01  0.337930E-01  0.390223E+01
  10     3  0.689935E-01  0.291435E-01  0.398500E-01  0.596316E+01
  10     4  0.729000E-01  0.304520E-01  0.424480E-01  0.798897E+01
  10     5  0.745084E-01  0.310107E-01  0.434977E-01  0.997087E+01
  10     6  0.750656E-01  0.312365E-01  0.438291E-01  0.119222E+02
  10     7  0.752581E-01  0.313232E-01  0.439349E-01  0.138622E+02
  11    -2  0.100831E-01  0.508980E-02  0.499330E-02  0.310082E+00
  11    -1  0.117257E-01  0.587806E-02  0.584761E-02  0.368919E+00
  11     0  0.207925E-01  0.100751E-01  0.107174E-01  0.723448E+00
  11     1  0.439310E-01  0.199548E-01  0.239762E-01  0.191685E+01
  11     2  0.646739E-01  0.279783E-01  0.366956E-01  0.379553E+01
  11     3  0.750115E-01  0.316310E-01  0.433804E-01  0.582513E+01
  11     4  0.793946E-01  0.331918E-01  0.462028E-01  0.783581E+01
  11     5  0.812557E-01  0.338453E-01  0.474104E-01  0.981059E+01
  11     6  0.819320E-01  0.341036E-01  0.478284E-01  0.117600E+02
  11     7  0.821914E-01  0.342296E-01  0.479618E-01  0.136940E+02
  12    -2  0.112284E-01  0.565174E-02  0.557664E-02  0.318309E+00
  12    -1  0.129809E-01  0.647996E-02  0.650099E-02  0.375266E+00
  12     0  0.226531E-01  0.109179E-01  0.117352E-01  0.716263E+00
  12     1  0.472831E-01  0.214115E-01  0.258716E-01  0.186541E+01
  12     2  0.696548E-01  0.300907E-01  0.395641E-01  0.369434E+01
  12     3  0.809849E-01  0.341652E-01  0.468196E-01  0.569582E+01
  12     4  0.858963E-01  0.358659E-01  0.500304E-01  0.769177E+01
  12     5  0.878633E-01  0.366255E-01  0.512378E-01  0.965785E+01
  12     6  0.887804E-01  0.369604E-01  0.518200E-01  0.116067E+02
  12     7  0.890311E-01  0.370395E-01  0.519915E-01  0.135358E+02
